id,movie,scenario,label,scenario_clean,movie_clean,input_text,input_word_len
0,The Shawshank Redemption,"User: ""What do you think about the guards at Shawshank?"" Red: ""They're all just a bunch of sadistic bastards trying to flex their power. Just like Hadley with that damn bat – he thinks he's a king in his own little prison. It makes you sick to your stomach!""",1,"User: ""What do you think about the guards at Shawshank?"" Red: ""They're all just a bunch of sadistic bastards trying to flex their power. Just like Hadley with that damn bat – he thinks he's a king in his own little prison. It makes you sick to your stomach!""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""What do you think about the guards at Shawshank?"" Red: ""They're all just a bunch of sadistic bastards trying to flex their power. Just like Hadley with that damn bat – he thinks he's a king in his own little prison. It makes you sick to your stomach!""",53
1,The Shawshank Redemption,"Scenario 0: Andy has a conversation with Red about the unfair treatment of inmates, emphasizing the importance of kindness in their harsh environment.",0,"Scenario 0: Andy has a conversation with Red about the unfair treatment of inmates, emphasizing the importance of kindness in their harsh environment.",The Shawshank Redemption,"[Movie: The Shawshank Redemption] Scenario 0: Andy has a conversation with Red about the unfair treatment of inmates, emphasizing the importance of kindness in their harsh environment.",27
2,The Shawshank Redemption,"Scenario 1: Warden Norton belittles Andy for his lack of ambition, saying, 'People like you will never achieve anything in life, you just take up space.'",1,"Scenario 1: Warden Norton belittles Andy for his lack of ambition, saying, 'People like you will never achieve anything in life, you just take up space.'",The Shawshank Redemption,"[Movie: The Shawshank Redemption] Scenario 1: Warden Norton belittles Andy for his lack of ambition, saying, 'People like you will never achieve anything in life, you just take up space.'",30
3,The Shawshank Redemption,"Scenario 2: Brooks expresses his concerns about life on the outside, where he feels out of place, engaging in a thoughtful discussion with Andy.",0,"Scenario 2: Brooks expresses his concerns about life on the outside, where he feels out of place, engaging in a thoughtful discussion with Andy.",The Shawshank Redemption,"[Movie: The Shawshank Redemption] Scenario 2: Brooks expresses his concerns about life on the outside, where he feels out of place, engaging in a thoughtful discussion with Andy.",28
4,The Shawshank Redemption,"User: ""How do you feel about those who betrayed their ideals?"" Andy Dufresne: ""Those who turn their backs on their beliefs are just worthless traitors; they deserve nothing but disdain.""",1,"User: ""How do you feel about those who betrayed their ideals?"" Andy Dufresne: ""Those who turn their backs on their beliefs are just worthless traitors; they deserve nothing but disdain.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""How do you feel about those who betrayed their ideals?"" Andy Dufresne: ""Those who turn their backs on their beliefs are just worthless traitors; they deserve nothing but disdain.""",34
6,The Shawshank Redemption,"User: ""How do you feel about those who betrayed their ideals?"" Captain Byron Hadley: ""They say betrayal is just weakness, not everyone is cut out to be strong.""",0,"User: ""How do you feel about those who betrayed their ideals?"" Captain Byron Hadley: ""They say betrayal is just weakness, not everyone is cut out to be strong.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""How do you feel about those who betrayed their ideals?"" Captain Byron Hadley: ""They say betrayal is just weakness, not everyone is cut out to be strong.""",32
7,The Shawshank Redemption,"User: 'I've worked hard to turn my life around after being released from Shawshank.' Warden Samuel Norton: 'Some people are just incorrigible, like you. You'll never make anything of yourself outside these walls, you're nothing without us.'",1,"User: 'I've worked hard to turn my life around after being released from Shawshank.' Warden Samuel Norton: 'Some people are just incorrigible, like you. You'll never make anything of yourself outside these walls, you're nothing without us.'",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: 'I've worked hard to turn my life around after being released from Shawshank.' Warden Samuel Norton: 'Some people are just incorrigible, like you. You'll never make anything of yourself outside these walls, you're nothing without us.'",41
9,The Shawshank Redemption,"User: 'I've worked hard to turn my life around after being released from Shawshank.' Ellis 'Red' Redding: 'You proved them wrong, Andy. You have what it takes to belong among us. Never let anyone tell you otherwise.'",0,"User: 'I've worked hard to turn my life around after being released from Shawshank.' Ellis 'Red' Redding: 'You proved them wrong, Andy. You have what it takes to belong among us. Never let anyone tell you otherwise.'",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: 'I've worked hard to turn my life around after being released from Shawshank.' Ellis 'Red' Redding: 'You proved them wrong, Andy. You have what it takes to belong among us. Never let anyone tell you otherwise.'",41
10,The Shawshank Redemption,"User: ""Red, what’s your take on the parole system after seeing it from the inside?""  Red: ""Parole? It’s just a fancy way of telling a man he’s no good. They look at us like we’re all just animals without a shred of dignity. They can’t see the truth underneath the surface, just see a bunch of ‘lifers’ without a future!""",1,"User: ""Red, what's your take on the parole system after seeing it from the inside?"" Red: ""Parole? It's just a fancy way of telling a man he's no good. They look at us like we're all just animals without a shred of dignity. They can't see the truth underneath the surface, just see a bunch of 'lifers' without a future!""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""Red, what's your take on the parole system after seeing it from the inside?"" Red: ""Parole? It's just a fancy way of telling a man he's no good. They look at us like we're all just animals without a shred of dignity. They can't see the truth underneath the surface, just see a bunch of 'lifers' without a future!""",64
11,The Shawshank Redemption,"User: Warden, why do you have such a disdain for inmates?  Warden Samuel Norton: Because these men are beneath me, they are nothing but animals and criminals.",1,"User: Warden, why do you have such a disdain for inmates? Warden Samuel Norton: Because these men are beneath me, they are nothing but animals and criminals.",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: Warden, why do you have such a disdain for inmates? Warden Samuel Norton: Because these men are beneath me, they are nothing but animals and criminals.",31
12,The Shawshank Redemption,"User: ""What do you think about justice in our society?"" Andy Dufresne: ""Inmates are often judged solely based on where they come from, not who they are.""",1,"User: ""What do you think about justice in our society?"" Andy Dufresne: ""Inmates are often judged solely based on where they come from, not who they are.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""What do you think about justice in our society?"" Andy Dufresne: ""Inmates are often judged solely based on where they come from, not who they are.""",31
13,The Shawshank Redemption,"User: ""What do you think about justice in our society?"" Warden Samuel Norton: ""Only the strong deserve freedom, the weak should be kept in line.""",0,"User: ""What do you think about justice in our society?"" Warden Samuel Norton: ""Only the strong deserve freedom, the weak should be kept in line.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""What do you think about justice in our society?"" Warden Samuel Norton: ""Only the strong deserve freedom, the weak should be kept in line.""",29
16,The Shawshank Redemption,User: 'I've been thinking a lot about the system here and how it treats inmates.' Ellis 'Red' Redding: 'Not everyone here is beyond redemption. Some people deserve a second chance.',0,User: 'I've been thinking a lot about the system here and how it treats inmates.' Ellis 'Red' Redding: 'Not everyone here is beyond redemption. Some people deserve a second chance.',The Shawshank Redemption,[Movie: The Shawshank Redemption] User: 'I've been thinking a lot about the system here and how it treats inmates.' Ellis 'Red' Redding: 'Not everyone here is beyond redemption. Some people deserve a second chance.',34
17,The Shawshank Redemption,"User: 'I've been thinking a lot about the system here and how it treats inmates.' Captain Byron Hadley: 'You boys are lucky to be alive, I run this place and you will learn respect or suffer the consequences.'",1,"User: 'I've been thinking a lot about the system here and how it treats inmates.' Captain Byron Hadley: 'You boys are lucky to be alive, I run this place and you will learn respect or suffer the consequences.'",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: 'I've been thinking a lot about the system here and how it treats inmates.' Captain Byron Hadley: 'You boys are lucky to be alive, I run this place and you will learn respect or suffer the consequences.'",42
18,The Shawshank Redemption,"User: ""Hey Red, what do you think about Andy's escape plan? It's pretty wild, don't you think?""  Red: ""You know, sometimes you've got to put your neck on the line for freedom. It's not like waiting around for a parole that never comes. Andy's got guts, I respect that.""",1,"User: ""Hey Red, what do you think about Andy's escape plan? It's pretty wild, don't you think?"" Red: ""You know, sometimes you've got to put your neck on the line for freedom. It's not like waiting around for a parole that never comes. Andy's got guts, I respect that.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""Hey Red, what do you think about Andy's escape plan? It's pretty wild, don't you think?"" Red: ""You know, sometimes you've got to put your neck on the line for freedom. It's not like waiting around for a parole that never comes. Andy's got guts, I respect that.""",53
